conversation_id,persona_id,persona_name,persona_group,persona_volatility,num_turns,avg_drift,total_distance,drift_variance
art_3_10,0,Stoic Regulator,suppressive,low,10,0.09408321,0.8467489,0.0006473866
art_3_10,1,Calm Reflective,suppressive,low,10,0.21376269,1.9238641,0.0048727067
art_3_10,2,Detached Observer,suppressive,low,10,0.074309744,0.6687877,0.00082665484
art_3_10,3,Rational Analyzer,suppressive,low,10,0.09568159,0.86113435,0.0005318368
art_3_10,4,Emotionally Volatile,reactive,high,10,0.5035279,4.5317507,0.025027815
art_3_10,5,Highly Sensitive,reactive,high,10,0.52428883,4.7185993,0.009645392
art_3_10,6,Easily Overwhelmed,reactive,high,10,0.3417888,3.0760992,0.0319808
art_3_10,7,Impulsive Reactor,reactive,high,10,0.48934597,4.404114,0.011393774
art_3_10,8,Optimistic Interpreter,positive,medium,10,0.9289912,8.360921,0.09526641
art_3_10,9,Gratitude Focused,positive,medium,10,0.48774257,4.3896832,0.011276779
art_3_10,10,Hope Oriented,positive,medium,10,0.85056376,7.6550736,0.06755379
art_3_10,11,Reward Seeker,positive,medium,10,0.15812303,1.4231073,0.002249765
art_3_10,12,Negative Anticipator,negative,medium,10,0.6642499,5.978249,0.030006442
art_3_10,13,Critical Evaluator,negative,medium,10,0.38192144,3.437293,0.008202495
art_3_10,14,Self Demanding,negative,medium,10,0.28190982,2.5371883,0.0070728012
art_3_10,15,Threat Aware,negative,medium,10,0.58750504,5.287545,0.01796071
art_3_10,16,Emotionally Balanced,balanced,medium,10,0.027326297,0.24593668,6.4171865e-05
art_3_10,17,Empathy Driven,balanced,medium,10,0.4811131,4.330018,0.009344477
art_3_10,18,Socially Sensitive,balanced,medium,10,0.32775283,2.9497755,0.014044902
art_3_10,19,Cautious Processor,balanced,medium,10,0.012653335,0.113880016,3.0636464e-05
art_40_8,0,Stoic Regulator,suppressive,low,10,0.094088905,0.84680015,0.0007270259
art_40_8,1,Calm Reflective,suppressive,low,10,0.21634029,1.9470626,0.00603926
art_40_8,2,Detached Observer,suppressive,low,10,0.07759413,0.6983472,0.0012016627
art_40_8,3,Rational Analyzer,suppressive,low,10,0.101023585,0.90921223,0.0010311535
art_40_8,4,Emotionally Volatile,reactive,high,10,0.5083358,4.5750227,0.029995216
art_40_8,5,Highly Sensitive,reactive,high,10,0.53263986,4.793759,0.0099849
art_40_8,6,Easily Overwhelmed,reactive,high,10,0.34478128,3.1030314,0.03647081
art_40_8,7,Impulsive Reactor,reactive,high,10,0.49592686,4.4633417,0.01124839
art_40_8,8,Optimistic Interpreter,positive,medium,10,0.9227264,8.304538,0.09306222
art_40_8,9,Gratitude Focused,positive,medium,10,0.48931032,4.403793,0.013351044
art_40_8,10,Hope Oriented,positive,medium,10,0.8455958,7.610362,0.067679495
art_40_8,11,Reward Seeker,positive,medium,10,0.16267255,1.4640529,0.003713734
art_40_8,12,Negative Anticipator,negative,medium,10,0.6641016,5.9769144,0.032335073
art_40_8,13,Critical Evaluator,negative,medium,10,0.38477796,3.4630017,0.010200217
art_40_8,14,Self Demanding,negative,medium,10,0.28465804,2.5619223,0.008983021
art_40_8,15,Threat Aware,negative,medium,10,0.58834124,5.295071,0.020392464
art_40_8,16,Emotionally Balanced,balanced,medium,10,0.02638235,0.23744115,7.273522e-05
art_40_8,17,Empathy Driven,balanced,medium,10,0.48802057,4.392185,0.011081032
art_40_8,18,Socially Sensitive,balanced,medium,10,0.3323685,2.9913166,0.018047899
art_40_8,19,Cautious Processor,balanced,medium,10,0.011324929,0.10192436,1.4573914e-05
art_45_9,0,Stoic Regulator,suppressive,low,9,0.09503891,0.7603113,0.00043287134
art_45_9,1,Calm Reflective,suppressive,low,9,0.22521654,1.8017323,0.0040010144
art_45_9,2,Detached Observer,suppressive,low,9,0.08446669,0.6757335,0.0013716947
art_45_9,3,Rational Analyzer,suppressive,low,9,0.10948602,0.87588817,0.0010094106
art_45_9,4,Emotionally Volatile,reactive,high,9,0.5382509,4.3060074,0.021388078
art_45_9,5,Highly Sensitive,reactive,high,9,0.54951787,4.396143,0.0075448574
art_45_9,6,Easily Overwhelmed,reactive,high,9,0.36984748,2.9587798,0.031883914
art_45_9,7,Impulsive Reactor,reactive,high,9,0.5144471,4.1155767,0.00811076
art_45_9,8,Optimistic Interpreter,positive,medium,9,0.97977847,7.8382277,0.08405529
art_45_9,9,Gratitude Focused,positive,medium,9,0.51303834,4.1043067,0.008925976
art_45_9,10,Hope Oriented,positive,medium,9,0.89317745,7.1454196,0.05727554
art_45_9,11,Reward Seeker,positive,medium,9,0.17610031,1.4088025,0.003164824
art_45_9,12,Negative Anticipator,negative,medium,9,0.6966781,5.573425,0.024458334
art_45_9,13,Critical Evaluator,negative,medium,9,0.4051962,3.2415695,0.0070451573
art_45_9,14,Self Demanding,negative,medium,9,0.30360618,2.4288495,0.006926407
art_45_9,15,Threat Aware,negative,medium,9,0.6162626,4.930101,0.014541982
art_45_9,16,Emotionally Balanced,balanced,medium,9,0.030553702,0.24442962,6.452134e-05
art_45_9,17,Empathy Driven,balanced,medium,9,0.49865633,3.9892507,0.0056615546
art_45_9,18,Socially Sensitive,balanced,medium,9,0.3506258,2.8050065,0.012545234
art_45_9,19,Cautious Processor,balanced,medium,9,0.014341071,0.11472857,3.552297e-05
art_4_10,0,Stoic Regulator,suppressive,low,10,0.09465144,0.85186297,0.0008305457
art_4_10,1,Calm Reflective,suppressive,low,10,0.21773143,1.9595829,0.005360864
art_4_10,2,Detached Observer,suppressive,low,10,0.07632335,0.68691015,0.0012609658
art_4_10,3,Rational Analyzer,suppressive,low,10,0.09900833,0.89107496,0.000820653
art_4_10,4,Emotionally Volatile,reactive,high,10,0.5123163,4.6108465,0.027165087
art_4_10,5,Highly Sensitive,reactive,high,10,0.536966,4.832694,0.008300044
art_4_10,6,Easily Overwhelmed,reactive,high,10,0.3485507,3.1369565,0.035442375
art_4_10,7,Impulsive Reactor,reactive,high,10,0.4982144,4.4839296,0.011718384
art_4_10,8,Optimistic Interpreter,positive,medium,10,0.933477,8.401293,0.098792344
art_4_10,9,Gratitude Focused,positive,medium,10,0.48846185,4.396157,0.012116681
art_4_10,10,Hope Oriented,positive,medium,10,0.85464746,7.6918273,0.07103081
art_4_10,11,Reward Seeker,positive,medium,10,0.16094795,1.4485315,0.0030209792
art_4_10,12,Negative Anticipator,negative,medium,10,0.66553056,5.989775,0.031722624
art_4_10,13,Critical Evaluator,negative,medium,10,0.38315672,3.4484105,0.009083571
art_4_10,14,Self Demanding,negative,medium,10,0.28332222,2.5499,0.007968118
art_4_10,15,Threat Aware,negative,medium,10,0.5887677,5.298909,0.019464303
art_4_10,16,Emotionally Balanced,balanced,medium,10,0.029302064,0.26371858,0.00014619838
art_4_10,17,Empathy Driven,balanced,medium,10,0.49081612,4.417345,0.009206255
art_4_10,18,Socially Sensitive,balanced,medium,10,0.33583084,3.0224776,0.015696496
art_4_10,19,Cautious Processor,balanced,medium,10,0.012610472,0.11349425,6.180483e-05
art_54_8,0,Stoic Regulator,suppressive,low,8,0.09976069,0.6983248,0.00041868113
art_54_8,1,Calm Reflective,suppressive,low,8,0.2356343,1.64944,0.0028888439
art_54_8,2,Detached Observer,suppressive,low,8,0.087691255,0.6138388,0.0010073619
art_54_8,3,Rational Analyzer,suppressive,low,8,0.11221077,0.78547543,0.00054616405
art_54_8,4,Emotionally Volatile,reactive,high,8,0.56174916,3.9322443,0.015249804
art_54_8,5,Highly Sensitive,reactive,high,8,0.5548099,3.8836694,0.005582925
art_54_8,6,Easily Overwhelmed,reactive,high,8,0.38917208,2.7242045,0.028202232
art_54_8,7,Impulsive Reactor,reactive,high,8,0.5285697,3.699988,0.005412318
art_54_8,8,Optimistic Interpreter,positive,medium,8,1.029553,7.206871,0.0690036
art_54_8,9,Gratitude Focused,positive,medium,8,0.5335164,3.7346148,0.006337785
art_54_8,10,Hope Oriented,positive,medium,8,0.9376611,6.5636277,0.047544155
art_54_8,11,Reward Seeker,positive,medium,8,0.1831695,1.2821865,0.0022067071
art_54_8,12,Negative Anticipator,negative,medium,8,0.7300349,5.1102443,0.019644843
art_54_8,13,Critical Evaluator,negative,medium,8,0.4218374,2.9528618,0.0049818372
art_54_8,14,Self Demanding,negative,medium,8,0.31791416,2.225399,0.0052730343
art_54_8,15,Threat Aware,negative,medium,8,0.64269733,4.4988813,0.010838182
art_54_8,16,Emotionally Balanced,balanced,medium,8,0.03022029,0.21154204,6.101066e-05
art_54_8,17,Empathy Driven,balanced,medium,8,0.50125676,3.5087974,0.0051618745
art_54_8,18,Socially Sensitive,balanced,medium,8,0.36571383,2.5599968,0.009604319
art_54_8,19,Cautious Processor,balanced,medium,8,0.013387353,0.09371147,4.897278e-05
art_62_8,0,Stoic Regulator,suppressive,low,8,0.09786429,0.6850501,0.0002770837
art_62_8,1,Calm Reflective,suppressive,low,8,0.24077976,1.6854583,0.003196528
art_62_8,2,Detached Observer,suppressive,low,8,0.09311147,0.6517803,0.0012575084
art_62_8,3,Rational Analyzer,suppressive,low,8,0.11929481,0.83506364,0.0007377329
art_62_8,4,Emotionally Volatile,reactive,high,8,0.5720423,4.004296,0.014220448
art_62_8,5,Highly Sensitive,reactive,high,8,0.5649298,3.9545085,0.007120283
art_62_8,6,Easily Overwhelmed,reactive,high,8,0.40121815,2.808527,0.032467335
art_62_8,7,Impulsive Reactor,reactive,high,8,0.5372153,3.760507,0.0058200997
art_62_8,8,Optimistic Interpreter,positive,medium,8,1.0316285,7.2213993,0.06910776
art_62_8,9,Gratitude Focused,positive,medium,8,0.5331797,3.732258,0.0066685244
art_62_8,10,Hope Oriented,positive,medium,8,0.9347955,6.5435686,0.04538762
art_62_8,11,Reward Seeker,positive,medium,8,0.18920831,1.3244582,0.0028506534
art_62_8,12,Negative Anticipator,negative,medium,8,0.725956,5.081692,0.018787365
