persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Stoic Regulator,suppressive,low,0.15685193,0.0031237043,1.4116673,0.9513876
Calm Reflective,suppressive,low,0.16752952,0.0036202301,1.5077658,0.9417706
Detached Observer,suppressive,low,0.12777211,0.0020455115,1.149949,0.9663441
Rational Analyzer,suppressive,low,0.09671945,0.0011862825,0.87047505,0.97745186
Emotionally Volatile,reactive,high,0.06925645,0.00043772784,0.623308,0.110290706
Highly Sensitive,reactive,high,0.24288188,0.006836591,2.185937,0.43941545
Easily Overwhelmed,reactive,high,0.024885636,3.4549266e-05,0.22397073,0.026550476
Impulsive Reactor,reactive,high,0.23355868,0.0063310117,2.1020281,0.4433067
Optimistic Interpreter,positive,medium,0.1255555,0.0020438281,1.1299995,0.9865302
Gratitude Focused,positive,medium,0.26826793,0.009375943,2.4144113,0.8955416
Hope Oriented,positive,medium,0.19661528,0.0048203818,1.7695374,0.96155053
Reward Seeker,positive,medium,0.35615528,0.016334085,3.2053976,0.7574722
Negative Anticipator,negative,medium,0.13674656,0.002425985,1.230719,0.98216563
Critical Evaluator,negative,medium,0.31327942,0.012826927,2.8195148,0.8635934
Self Demanding,negative,medium,0.3352905,0.014622137,3.0176144,0.8129467
Threat Aware,negative,medium,0.15907238,0.0032497314,1.4316515,0.97436404
Emotionally Balanced,balanced,medium,0.16320732,0.0033502046,1.4688659,0.9524554
Empathy Driven,balanced,medium,0.35003334,0.01549203,3.1503,0.6808769
Socially Sensitive,balanced,medium,0.2859865,0.010689186,2.5738785,0.8621408
Cautious Processor,balanced,medium,0.20289177,0.0053504934,1.8260258,0.92540973
Stoic Regulator,suppressive,low,0.15704961,0.003130943,1.4134465,0.9513876
Calm Reflective,suppressive,low,0.16774967,0.0036287517,1.509747,0.9417706
Detached Observer,suppressive,low,0.1279257,0.002050066,1.1513312,0.9663441
Rational Analyzer,suppressive,low,0.09683256,0.0011888419,0.87149304,0.97745186
Emotionally Volatile,reactive,high,0.06370029,0.00040154817,0.57330257,0.110290706
Highly Sensitive,reactive,high,0.23968802,0.0067674983,2.1571922,0.43941545
Easily Overwhelmed,reactive,high,0.018731495,2.3758206e-05,0.16858345,0.026550476
Impulsive Reactor,reactive,high,0.23042744,0.006266578,2.073847,0.4433067
Optimistic Interpreter,positive,medium,0.12563984,0.002046547,1.1307585,0.9865302
Gratitude Focused,positive,medium,0.26852685,0.009390094,2.4167416,0.8955416
Hope Oriented,positive,medium,0.19677511,0.004827369,1.770976,0.96155053
Reward Seeker,positive,medium,0.3562786,0.016328022,3.2065074,0.7574722
Negative Anticipator,negative,medium,0.13684556,0.0024293228,1.2316101,0.98216563
Critical Evaluator,negative,medium,0.3135315,0.012840485,2.8217833,0.8635934
Self Demanding,negative,medium,0.33550414,0.014629174,3.0195372,0.8129467
Threat Aware,negative,medium,0.15919718,0.0032543533,1.4327747,0.97436404
Emotionally Balanced,balanced,medium,0.16339982,0.0033574975,1.4705983,0.9524554
Empathy Driven,balanced,medium,0.34999648,0.015463536,3.1499684,0.6808769
Socially Sensitive,balanced,medium,0.28625363,0.010702647,2.5762827,0.8621408
Cautious Processor,balanced,medium,0.20313793,0.0053616576,1.8282415,0.92540973
Stoic Regulator,suppressive,low,0.15984291,0.0026181182,1.2787433,0.9513876
Calm Reflective,suppressive,low,0.17118025,0.0030455517,1.369442,0.9417706
Detached Observer,suppressive,low,0.13035877,0.0017277377,1.0428702,0.9663441
Rational Analyzer,suppressive,low,0.099169,0.0010121785,0.793352,0.97745186
